Player Name,Player ID,Format,Matches Played,Innings,Runs Scored,Batting Average,Strike Rate,Highest Score,Centuries,Half-Centuries,Fours,Sixes,Wickets Taken,Bowling Average,Economy Rate,Best Bowling,Five-Wicket Hauls,Catches,Stumpings,Primary Role,Team Name,Toss Decision,Result
Shaun Dev,1,Test,8,243,3195,29.27866639023404,77.11746521595248,229,9,62,1132,272,0,0.0,0.0,8/56,9,197,38,Wicketkeeper,Papua New Guinea,Bat,Win
Jasprit Taylor,2,ODI,119,164,7995,45.29643382221914,82.12703014757068,252,41,39,1913,281,25,10.61775702846946,3.653845701139764,0/75,0,96,0,Batsman,Germany,Bowl,Draw
Sam Stokes,3,ODI,89,56,3423,67.80991524028968,130.63186285082645,242,6,68,555,160,12,23.300590934856423,1.2021209598877487,9/17,7,76,0,Batsman,Australia,Bat,Draw
Allan Smith,4,Test,43,39,5113,36.46506813404103,76.80305011128468,40,11,55,1910,191,126,31.793370571743168,4.269730851253159,4/14,9,3,0,All-rounder,Spain,Bowl,Draw
Ross Gavaskar,5,Test,46,128,4377,44.936644350137925,68.1803784699398,122,15,22,526,137,280,24.33410725195361,3.744480735453352,3/68,0,41,0,All-rounder,Sri Lanka,Bowl,Draw
Saurabh Taylor,6,ODI,199,122,613,17.69496909625186,40.73345077993496,196,30,83,1539,109,52,20.905661505189133,4.486769474625547,5/38,5,76,4,Bowler,Hong Kong,Bowl,Loss
Mustafizur Ganguly,7,T20,151,247,3696,38.90856593744787,105.75738906647264,149,26,2,1783,50,0,0.0,0.0,7/57,2,127,30,Wicketkeeper,Ireland Republic,Bowl,Loss
Kagiso Afridi,8,ODI,58,186,463,14.465799255689603,52.55399670063748,239,31,64,235,289,359,23.063914229608333,5.236669067237429,9/70,4,89,0,Bowler,Hungary,Bat,Loss
Ravindra Bumrah,9,T20,81,208,5049,44.90135250189223,57.18314065782624,277,41,50,1587,168,270,23.84322186043828,6.110914837400564,4/83,4,20,0,All-rounder,Italy,Bat,Draw
Sourav Gilchrist,10,T20,168,239,754,14.275428273032876,21.201934441972178,42,39,24,1225,293,251,24.692618061438345,6.463562460687784,8/88,8,1,25,Bowler,Germany,Bat,Draw
